descripcion,cantidad,unidad
Barra repartidora 12 vias,1,un
Borne de paso 16 mm2 azul,1,un
Borne de paso 16 mm2 gris,1,un
Borne de paso 16 mm2 tierra,1,un
Caja metalica sobrepuesta 400 x 500 x 200 (placa 450 x 350 mm),1,un
"Canaleta ranurada 25 x 25 mm, corte de 396 mm",3,un
"Contactor 3P 25 A, bobina 230 V",1,un
Interruptor automatico 1P C10 A,2,un
Interruptor automatico 1P C16 A,2,un
Interruptor automatico 1P C20 A,1,un
Interruptor automatico 1P C25 A,1,un
Interruptor automatico 2P C40 A,1,un
Interruptor automatico 3P C25 A,1,un
Interruptor automatico 3P C63 A,1,un
Interruptor diferencial 2P 40 A 30 mA,1,un
Interruptor diferencial 4P 63 A 300 mA,1,un
Rele crepuscular de riel 2 modulos,1,un
Reloj control horario programable 2 modulos,1,un
"Riel DIN 35 mm, corte de 396 mm",2,un
Tope de riel DIN,4,un
